,asset_1,asset_2,asset_1_name,asset_2_name,A,B,l_max,theta,mu,sigma,x_0,x_T,d_star,b_star,t_first_d_star,t_first_b_star
878,A250780,A153130,"('TIGER 코스닥150선물인버스', 'inverse')","('KODEX 단기채권', 'bond')",1.0,1.0,3.238884,1.9580942895649478,11.554559847907097,0.2696526121517286,2.0,1.9405788759068279,0.0,0.0,inf,200.0
879,A250780,A148070,"('TIGER 코스닥150선물인버스', 'inverse')","('KOSEF 국고채10년', 'bond')",1.0,0.407035,3.243729,1.3940565542002334,16.43469876205923,0.26865693896181614,1.407035175879397,1.39226989594569,1.2462311557788945,1.5075376884422111,inf,302.0
880,A250780,A332620,"('TIGER 코스닥150선물인버스', 'inverse')","('ARIRANG 미국장기우량회사채', 'US,bond')",1.0,-0.376884,3.254811,0.5282911488229866,6.705216519833958,0.26232382786068165,0.6231155778894473,0.5135927464836376,0.32160804020100503,0.7135678391959799,inf,inf
881,A250780,A182490,"('TIGER 코스닥150선물인버스', 'inverse')","('TIGER 단기선진하이일드(합성 H)', 'global,high-yield')",1.0,0.748744,3.249688,1.7363443081620111,16.30765300466184,0.26894257798766924,1.7487437185929648,1.7232291664459827,1.5879396984924623,1.849246231155779,inf,inf
882,A250780,A292770,"('TIGER 코스닥150선물인버스', 'inverse')","('KODEX 국채선물3년인버스', 'inverse,bond')",1.0,-1.0,3.249204,-0.015561885363342623,15.489840742076527,0.2674394768730055,0.0,-0.021211601523726475,0.0,0.1407035175879397,200.0,inf
883,A250780,A123310,"('TIGER 코스닥150선물인버스', 'inverse')","('TIGER 인버스', 'inverse')",1.0,-1.0,3.64347,0.04570550482413645,10.216833942978125,0.17495058823965415,0.0,0.0930143998781422,0.0,0.16080402010050251,inf,225.0
884,A250780,A292340,"('TIGER 코스닥150선물인버스', 'inverse')","('마이티 200커버드콜ATM레버리지', 'option,leverage')",1.0,0.58794,3.475984,1.6127618551908063,16.066299369301866,0.20299703406050695,1.5879396984924623,1.6539846547954775,1.4974874371859297,1.6984924623115578,inf,224.0
885,A250780,A166400,"('TIGER 코스닥150선물인버스', 'inverse')","('TIGER 200커버드콜5%OTM', 'option')",1.0,0.979899,3.527674,2.041133698597655,10.195965945410013,0.1945942411166665,1.9798994974874373,2.100270807578806,1.899497487437186,2.0,inf,200.0
886,A250780,A271050,"('TIGER 코스닥150선물인버스', 'inverse')","('KODEX WTI원유선물인버스(H)', 'commodity,inverse')",1.0,-0.005025,3.239088,0.9529987677599279,11.507025871753623,0.26965624605400984,0.9949748743718593,0.9351388171339319,0.7839195979899498,1.0954773869346734,inf,inf
887,A250780,A132030,"('TIGER 코스닥150선물인버스', 'inverse')","('KODEX 골드선물(H)', 'commodity')",1.0,-0.055276,3.239264,0.9081534870284236,12.408870394591338,0.2695716748008972,0.9447236180904522,0.8922402749135822,0.7437185929648241,1.0452261306532664,inf,inf
888,A250780,A138910,"('TIGER 코스닥150선물인버스', 'inverse')","('KODEX 구리선물(H)', 'commodity')",1.0,0.226131,3.263447,1.1930537263809562,10.368802295753852,0.26289295634831683,1.2261306532663316,1.168512083865298,1.015075376884422,1.3366834170854272,inf,inf
889,A250780,A316300,"('TIGER 코스닥150선물인버스', 'inverse')","('KINDEX 싱가포르리츠', 'singapore,real-estate')",1.0,0.527638,3.258583,1.4931599268812108,11.28631317495354,0.2626884162278766,1.5276381909547738,1.4674723639522371,1.3266331658291457,1.6180904522613067,inf,inf
890,A250780,A352560,"('TIGER 코스닥150선물인버스', 'inverse')","('KODEX 다우존스미국리츠(H)', 'US,real-estate')",1.0,0.477387,3.305646,1.4657404254491366,13.701146828732057,0.24239354310033323,1.4773869346733668,1.4387865945882514,1.3266331658291457,1.5778894472361809,inf,inf
891,A250780,A295020,"('TIGER 코스닥150선물인버스', 'inverse')","('KBSTAR 국채선물10년인버스', 'inverse,bond')",1.0,-0.386935,3.242462,0.599625297741163,16.34714283362733,0.26913644320066815,0.6130653266331658,0.5969853705101025,0.45226130653266333,0.7236180904522613,inf,302.0
892,A250780,A217780,"('TIGER 코스닥150선물인버스', 'inverse')","('TIGER 차이나CSI300인버스(합성)', 'china,inverse')",1.0,-0.537688,3.307181,0.49067411624881213,16.240205474287027,0.2542368490673596,0.4623115577889447,0.4850680332903974,0.35175879396984927,0.6130653266331658,inf,302.0
893,A250780,A225030,"('TIGER 코스닥150선물인버스', 'inverse')","('TIGER 미국S&P500선물인버스(H)', 'US,inverse')",1.0,-0.879397,3.472249,0.11688376697308799,9.185375037938636,0.19623299369082958,0.12060301507537685,0.06599529419511663,0.0,0.25125628140703515,312.0,inf
894,A250780,A373530,"('TIGER 코스닥150선물인버스', 'inverse')","('ARIRANG 신흥국MSCI인버스(합성 H)', 'emerging-market,inverse')",1.0,-0.778894,3.406569,0.26285513935469174,11.653605105240537,0.21912424790141227,0.22110552763819102,0.26961008249805174,0.1306532663316583,0.3919597989949749,inf,302.0
895,A250780,A280940,"('TIGER 코스닥150선물인버스', 'inverse')","('KODEX 골드선물인버스(H)', 'commodity,inverse')",1.0,0.065327,3.239558,1.0305272171813176,12.644644541857023,0.2697161781974114,1.065326633165829,1.015186119891006,0.864321608040201,1.1658291457286432,inf,inf
896,A295020,A305720,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('KODEX 2차전지산업', 'technology,manufacturing')",1.0,-0.005025,4.748914,0.891536575841873,2.23189345766687,0.06414559214905355,0.9949748743718593,0.8981960139163628,0.0,0.0,inf,200.0
897,A295020,A091180,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('KODEX 자동차', 'technology,manufacturing')",1.0,-0.005025,4.749353,0.8893563724814993,2.178651020967382,0.06412130699142161,0.9949748743718593,0.8969782085212694,0.0,0.0,inf,200.0
898,A295020,A228800,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('TIGER 여행레저', 'retail')",1.0,-0.015075,4.753438,0.8790506267092048,2.199701587702707,0.06419448664501948,0.9849246231155779,0.8869160190962115,0.0,0.0,inf,200.0
899,A295020,A161510,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('ARIRANG 고배당주', 'high-dividend')",1.0,-0.065327,4.76682,0.8337948832868664,2.3183408863596076,0.06341455464465436,0.9346733668341709,0.8397593474300635,0.0,0.0,inf,200.0
900,A295020,A150460,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('TIGER 중국소비테마', 'china,retail')",1.0,-0.015075,4.750038,0.8760284515142013,2.1191861374908187,0.06426589102442114,0.9849246231155779,0.8852004418659597,0.0,0.0,inf,200.0
901,A295020,A228810,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('TIGER 미디어컨텐츠', 'retail')",1.0,0.005025,4.749073,0.9022191929969803,2.2094661236948068,0.06407336531483253,1.0050251256281406,0.9086547858491313,0.0,0.0,inf,200.0
902,A295020,A139220,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('TIGER 200 건설', 'utilities')",1.0,0.005025,4.748724,0.9037726635209578,2.2726687457237422,0.06409780353002993,1.0050251256281406,0.9092713394569822,0.0,0.0,inf,200.0
903,A295020,A117680,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('KODEX 철강', 'commodity')",1.0,-0.015075,4.751381,0.8780218283627977,2.1215825797616983,0.06399038680010007,0.9849246231155779,0.886863002396148,0.0,0.0,inf,200.0
904,A295020,A174350,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('TIGER 로우볼', 'volatility')",1.0,-0.055276,4.760342,0.8393743117613984,2.1903131096865596,0.06376319515399395,0.9447236180904522,0.8471476600723062,0.0,0.0,inf,200.0
905,A295020,A244670,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('KODEX 밸류Plus', 'value')",1.0,-0.015075,4.751236,0.8762535592262571,2.118292671609625,0.06413534327477716,0.9849246231155779,0.8852759900707355,0.0,0.0,inf,200.0
906,A295020,A322150,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('KINDEX 스마트하이베타', 'factor-model')",1.0,0.005025,4.748988,0.904304696792556,2.285195644402619,0.06408674282772227,1.0050251256281406,0.9094336492638563,0.0,0.0,inf,200.0
907,A295020,A337120,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('KODEX Fn멀티팩터', 'factor-model')",1.0,-0.005025,4.748964,0.8904731784145514,2.2072864355220823,0.06418270813872093,0.9949748743718593,0.8974778961693289,0.0,0.0,inf,200.0
908,A295020,A147970,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('TIGER 모멘텀', 'momentum')",1.0,-0.025126,4.754134,0.8694906466033645,2.1792626288270602,0.06397579906422166,0.9748743718592965,0.877309881072249,0.0,0.0,inf,200.0
909,A295020,A243880,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('TIGER 200IT레버리지', 'leverage,technology')",1.0,0.005025,4.747863,0.9072422291907669,2.329609732711754,0.0640093690699482,1.0050251256281406,0.9112023318442132,0.0,0.0,inf,200.0
910,A295020,A153130,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('KODEX 단기채권', 'bond')",1.0,1.0,4.751569,1.8866745613324296,2.0984271344788583,0.06387608685524566,2.0,1.897408058989511,0.0,0.0,inf,200.0
911,A295020,A148070,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('KOSEF 국고채10년', 'bond')",1.0,0.869347,5.973797,1.8588691365176013,6.929777979090692,0.017072039532722887,1.8693467336683418,1.8553782953649185,0.0,0.0,inf,200.0
912,A295020,A332620,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('ARIRANG 미국장기우량회사채', 'US,bond')",1.0,0.115578,4.783253,1.0387639340672308,2.4802478574867357,0.06229723916643939,1.1155778894472361,1.0361188513446349,0.0,0.0,inf,200.0
913,A295020,A182490,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('TIGER 단기선진하이일드(합성 H)', 'global,high-yield')",1.0,0.055276,4.750086,0.9562539190995727,2.2882648477287817,0.06405566113781133,1.0552763819095476,0.9606938923881917,0.0,0.0,inf,200.0
914,A295020,A292770,"('KBSTAR 국채선물10년인버스', 'inverse,bond')","('KODEX 국채선물3년인버스', 'inverse,bond')",1.0,-1.0,4.992964,-0.058458405008094176,2.960605507889764,0.04905996056257819,0.0,-0.0643824184410432,0.0,0.010050251256281407,200.0,inf
